CustomerID,total_orders,total_spend,last_purchase,first_purchase,recency_days,avg_spend_per_order,customer_lifetime_days,purchase_frequency,cluster,segment
12347.0,7,4310.0,2011-12-07 15:52:00,2010-12-07 14:57:00,2,615.7142857142857,365,0.01912568306010929,1,1
12348.0,4,1797.24,2011-09-25 13:13:00,2010-12-16 19:09:00,75,449.31,282,0.014134275618374558,1,1
12349.0,1,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,19,1757.55,0,1.0,1,1
12350.0,1,334.40000000000003,2011-02-02 16:01:00,2011-02-02 16:01:00,310,334.40000000000003,0,1.0,2,0
12352.0,8,2506.04,2011-11-03 14:37:00,2011-02-16 12:33:00,36,313.255,260,0.03065134099616858,1,1
12353.0,1,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,204,89.0,0,1.0,2,0
12354.0,1,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,232,1079.4,0,1.0,2,0
12355.0,1,459.40000000000003,2011-05-09 13:49:00,2011-05-09 13:49:00,214,459.40000000000003,0,1.0,2,0
12356.0,3,2811.43,2011-11-17 08:40:00,2011-01-18 09:50:00,23,937.1433333333333,302,0.009900990099009901,1,1
12358.0,2,1168.06,2011-12-08 10:26:00,2011-07-12 10:04:00,2,584.03,149,0.013333333333333334,2,0
12359.0,4,6372.58,2011-10-13 12:47:00,2011-01-12 12:43:00,58,1593.145,274,0.014545454545454545,0,2
12360.0,3,2662.06,2011-10-18 15:22:00,2011-05-23 09:43:00,52,887.3533333333334,148,0.020134228187919462,1,1
12361.0,1,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,287,189.9,0,1.0,2,0
12362.0,10,5226.2300000000005,2011-12-06 15:40:00,2011-02-17 10:30:00,3,522.623,292,0.034129692832764506,1,1
12363.0,2,552.0,2011-08-22 10:18:00,2011-04-11 13:29:00,110,276.0,132,0.015037593984962405,2,0
12364.0,4,1313.1,2011-12-02 10:22:00,2011-08-19 15:24:00,8,328.275,104,0.0380952380952381,2,0
12365.0,2,641.38,2011-02-21 14:04:00,2011-02-21 13:51:00,291,320.69,0,2.0,2,0
12367.0,1,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,4,168.9,0,1.0,2,0
12370.0,4,3545.69,2011-10-19 14:51:00,2010-12-14 12:58:00,51,886.4225,309,0.012903225806451613,1,1
12371.0,2,1887.96,2011-10-26 10:16:00,2011-10-11 10:43:00,45,943.98,14,0.13333333333333333,1,1
12372.0,3,1298.04,2011-09-29 12:12:00,2011-02-16 12:46:00,72,432.68,224,0.013333333333333334,2,0
12373.0,1,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,311,364.6,0,1.0,2,0
12374.0,1,742.9300000000001,2011-11-14 15:37:00,2011-11-14 15:37:00,25,742.9300000000001,0,1.0,2,0
12375.0,2,457.5,2011-11-29 10:36:00,2011-09-02 14:23:00,11,228.75,87,0.022727272727272728,2,0
12377.0,2,1628.1200000000001,2011-01-28 15:45:00,2010-12-20 09:37:00,315,814.0600000000001,39,0.05,2,0
12378.0,1,4008.62,2011-08-02 10:34:00,2011-08-02 10:34:00,130,4008.62,0,1.0,0,2
12379.0,2,852.24,2011-09-19 10:09:00,2011-06-22 16:32:00,82,426.12,88,0.02247191011235955,2,0
12380.0,4,2724.81,2011-11-18 11:27:00,2011-06-07 09:49:00,22,681.2025,164,0.024242424242424242,1,1
12381.0,5,1845.31,2011-12-05 12:44:00,2011-08-12 09:57:00,5,369.062,115,0.04310344827586207,1,1
12383.0,5,1850.56,2011-06-08 08:02:00,2010-12-22 14:28:00,185,370.11199999999997,167,0.02976190476190476,1,1
12384.0,2,585.27,2011-11-11 08:39:00,2011-08-10 11:23:00,29,292.635,92,0.021505376344086023,2,0
12386.0,2,401.9,2011-01-06 12:37:00,2010-12-08 09:53:00,338,200.95,29,0.06666666666666667,2,0
12388.0,6,2780.6600000000003,2011-11-24 12:30:00,2011-01-17 11:12:00,16,463.4433333333334,311,0.019230769230769232,1,1
12390.0,1,549.84,2011-09-21 09:33:00,2011-09-21 09:33:00,80,549.84,0,1.0,2,0
12391.0,1,460.89,2011-11-18 12:07:00,2011-11-18 12:07:00,22,460.89,0,1.0,2,0
12393.0,4,1582.6000000000001,2011-09-28 15:41:00,2011-01-11 09:47:00,72,395.65000000000003,260,0.01532567049808429,1,1
12394.0,2,1272.48,2011-10-07 08:08:00,2011-05-06 14:01:00,64,636.24,153,0.012987012987012988,2,0
12395.0,12,3018.63,2011-11-20 15:21:00,2010-12-03 16:35:00,19,251.5525,351,0.03409090909090909,1,1
12397.0,2,2409.9,2011-11-04 09:52:00,2011-07-27 14:21:00,36,1204.95,99,0.02,1,1
12398.0,1,1635.6599999999999,2011-10-25 10:27:00,2011-10-25 10:27:00,46,1635.6599999999999,0,1.0,1,1
12399.0,4,1108.65,2011-08-12 13:15:00,2011-03-23 09:42:00,119,277.1625,142,0.027972027972027972,2,0
12401.0,1,84.3,2011-02-09 13:50:00,2011-02-09 13:50:00,303,84.3,0,1.0,2,0
12402.0,1,225.60000000000002,2011-01-20 13:49:00,2011-01-20 13:49:00,323,225.60000000000002,0,1.0,2,0
12403.0,1,427.7,2011-10-21 10:51:00,2011-10-21 10:51:00,50,427.7,0,1.0,2,0
12405.0,1,1710.39,2011-07-14 08:52:00,2011-07-14 08:52:00,149,1710.39,0,1.0,1,1
12406.0,2,3415.3,2011-11-17 19:22:00,2011-06-09 10:23:00,22,1707.65,161,0.012345679012345678,1,1
12407.0,5,1708.12,2011-10-21 10:11:00,2011-03-20 13:21:00,50,341.62399999999997,214,0.023255813953488372,1,1
12408.0,5,2888.55,2011-11-07 12:27:00,2011-03-24 14:46:00,33,577.71,227,0.021929824561403508,1,1
12409.0,3,11072.67,2011-09-22 10:38:00,2011-06-10 12:19:00,79,3690.89,103,0.028846153846153848,0,2
12410.0,2,693.33,2011-02-04 10:39:00,2011-02-04 10:38:00,309,346.665,0,2.0,2,0
12412.0,3,1226.88,2011-09-26 10:16:00,2011-06-23 13:51:00,75,408.96000000000004,94,0.031578947368421054,2,0
12413.0,3,758.1,2011-10-04 09:00:00,2011-01-06 16:12:00,67,252.70000000000002,270,0.01107011070110701,2,0
12414.0,3,562.4100000000001,2011-05-06 14:51:00,2011-02-02 14:51:00,217,187.47000000000003,93,0.031914893617021274,2,0
12417.0,9,3649.1,2011-12-06 14:52:00,2010-12-17 11:51:00,3,405.4555555555555,354,0.02535211267605634,1,1
12418.0,1,668.58,2011-08-19 11:08:00,2011-08-19 11:08:00,113,668.58,0,1.0,2,0
12420.0,1,600.39,2011-10-07 08:55:00,2011-10-07 08:55:00,64,600.39,0,1.0,2,0
12421.0,4,807.04,2011-11-24 09:07:00,2011-01-24 15:09:00,16,201.76,303,0.013157894736842105,2,0
12422.0,3,803.5600000000001,2011-09-05 09:48:00,2011-01-19 09:13:00,96,267.85333333333335,229,0.013043478260869565,2,0
12423.0,8,1859.31,2011-12-09 10:10:00,2010-12-21 10:54:00,1,232.41375,352,0.0226628895184136,1,1
12424.0,2,1760.96,2011-06-30 12:06:00,2011-06-30 12:06:00,163,880.48,0,2.0,2,0
12425.0,1,777.2,2011-09-22 17:31:00,2011-09-22 17:31:00,78,777.2,0,1.0,2,0
12426.0,1,582.73,2011-05-29 12:26:00,2011-05-29 12:26:00,195,582.73,0,1.0,2,0
12427.0,3,825.8000000000001,2011-11-18 08:56:00,2010-12-03 10:44:00,22,275.2666666666667,349,0.008571428571428572,2,0
12428.0,9,7956.46,2011-11-14 08:22:00,2011-03-01 09:33:00,26,884.0511111111111,257,0.03488372093023256,0,2
12429.0,4,3750.4,2011-11-30 17:22:00,2010-12-09 12:05:00,9,937.6,356,0.011204481792717087,1,1
12430.0,1,256.4,2011-10-27 15:09:00,2011-10-27 15:09:00,43,256.4,0,1.0,2,0
