StockCode,product_demand,avg_product_price,demand_tier
10002,823,0.85,1
10080,291,0.41190476190476194,1
10120,193,0.21,1
10123C,5,0.65,0
10124A,16,0.42000000000000004,0
10124G,17,0.42,0
10125,1226,0.7828125,2
10133,2384,0.5275,2
10135,1938,1.1976859504132231,2
11001,1252,1.851875,2
15030,143,0.29,1
15034,6419,0.13692307692307693,2
15036,21876,0.8050153846153846,2
15039,1559,0.8364788732394366,2
15044A,428,3.0168354430379747,1
15044B,307,2.9333333333333336,1
15044C,272,2.94344262295082,1
15044D,630,2.9613513513513516,1
15056BL,2779,5.8937113402061865,2
15056N,3826,5.864685863874345,2
15056P,769,5.941313868613139,1
15058A,148,7.8088235294117645,1
15058B,115,7.8621951219512205,0
15058C,193,6.35,1
15060B,411,3.820315789473684,1
16008,2892,0.13614285714285712,2
16010,30,0.12,0
16011,1773,0.21,2
16012,1244,0.21,2
16014,13328,0.4014814814814815,2
16015,662,0.48833333333333334,1
16016,1273,0.8460000000000001,2
16020C,6,0.85,0
16033,840,0.12,1
16043,98,0.12,0
16045,8900,0.043478260869565216,2
16046,67,0.85,0
16048,1437,0.13224489795918368,2
16049,504,0.24,1
16052,467,0.305,1
16054,1166,0.1290909090909091,2
16151A,49,1.25,0
16156L,475,0.42,1
16156S,5800,0.4168862275449102,2
16161G,700,0.1,1
16161M,25,0.42,0
16161P,7226,0.41943775100401604,2
16161U,4075,0.41955223880597015,2
16162L,17,0.65,0
16162M,26,0.42,0
16168M,329,0.42000000000000004,1
16169E,4563,0.41919999999999996,2
16169K,200,0.42,1
16169M,660,0.42,1
16169N,25,0.42,0
16169P,50,0.42,0
16202A,7,0.5,0
16202B,29,0.5,0
16202E,15,0.5,0
16206B,7,1.25,0
16207A,13,2.95,0
16207B,4,2.7866666666666666,0
16216,3316,0.09463414634146342,2
16218,3760,0.0732,2
16219,2915,0.09085106382978722,2
16225,762,1.1883116883116882,1
16235,2665,0.2139506172839506,2
16236,1296,0.20931506849315068,2
16237,4598,0.20615384615384613,2
16238,1261,0.23562499999999997,2
16244B,7,1.225,0
16248B,13,1.25,0
16254,31,1.0233333333333332,0
16258A,445,0.45921052631578946,1
16259,3380,0.0967741935483871,2
17001,72,0.29,0
17003,22963,0.3200956937799043,2
17007B,24,2.1,0
17011F,80,1.1333333333333335,0
17012A,270,1.1079999999999999,1
17012B,455,1.0763888888888888,1
17012C,363,1.1511363636363636,1
17012D,387,1.108695652173913,1
17012E,59,1.525,0
17012F,365,1.0035714285714286,1
17013D,532,0.8672727272727272,1
17014A,154,0.6071428571428571,1
17021,2427,0.2947368421052632,2
17028J,6,0.42,0
17038,1501,0.09526315789473684,2
17084A,200,0.21,1
17084J,225,0.21,1
17084N,1025,0.2084375,2
17084P,349,0.21,1
17084R,4032,0.20259259259259257,2
17090A,109,1.17,0
17090D,29,1.25,0
17091A,172,0.7815384615384615,1
17091J,2066,0.5476923076923077,2
17096,2516,0.20076923076923076,2
17107D,171,2.55,1
17109D,61,0.9039999999999999,0
17129F,427,0.8436842105263158,1
17136A,404,0.0995,1
17164B,29,0.42000000000000004,0
17165D,27,1.05,0
17174,9,0.42,0
17191A,4,3.75,0
18007,5856,0.16666666666666666,2
18094C,134,1.1966666666666665,0
18097A,5,2.55,0
18097C,673,2.5071428571428567,1
18098C,193,2.918421052631579,1
20615,231,1.4831428571428573,1
20616,134,1.3172,0
20617,66,2.224615384615385,0
20618,68,2.0707142857142857,0
20619,142,2.309090909090909,1
20622,163,1.9933333333333334,1
20652,150,1.4180555555555554,1
20653,33,1.6533333333333333,0
20654,105,1.2341666666666666,0
20655,89,1.31,0
20657,61,1.3513636363636363,0
20658,328,1.25,1
20659,95,1.540625,0
20661,9,4.654,0
20662,11,4.086,0
20663,3,3.896666666666667,0
20664,6,2.9500000000000006,0
20665,340,2.944520547945206,1
20666,4,2.95,0
20667,1,2.95,0
20668,12714,0.11851063829787233,2
20669,195,1.25,1
20670,8,3.896666666666667,0
20671,10,1.25,0
20674,1373,1.2517105263157895,2
20675,2729,1.2419026548672567,2
20676,4363,1.2438157894736843,2
20677,3159,1.2583482142857143,2
20678,4,1.65,0
20679,1630,5.920369003690038,2
20681,125,3.25,0
20682,1140,3.312950819672131,2
20684,78,3.25,0
20685,3901,7.75979274611399,2
20686,255,3.302,1
20694,36,3.75,0
20695,5,4.25,0
20696,32,3.75,0
20697,19,2.55,0
20698,16,2.55,0
20699,29,2.55,0
20700,10,3.75,0
20701,6,3.75,0
20702,128,4.25,0
20703,1,4.25,0
20704,211,4.77051282051282,1
20705,143,4.807142857142857,1
20707,155,1.5438709677419356,1
20711,4198,2.01331983805668,2
20712,8187,2.0361971830985914,2
20713,10466,2.0192874109263657,2
20716,314,1.2445714285714287,1
20717,2036,1.2759322033898306,2
20718,4264,1.2658717948717948,2
20719,9237,0.8454761904761905,2
20723,6847,0.86014,2
20724,12809,0.8493075898801596,2
20725,17897,1.658807896735004,2
20726,9115,1.6592636579572446,2
20727,11291,1.6438461538461537,2
20728,10820,1.656875631951466,2
20731,74,1.25,0
20733,918,0.8391836734693877,1
20735,158,0.8456666666666667,1
20748,53,12.75,0
20749,1719,7.790978260869565,2
20750,1712,7.749455040871935,2
20751,973,2.0958375634517767,2
20752,367,2.1,1
20754,1356,2.0898765432098765,2
20755,292,0.85,1
20756,63,0.85,0
20757,164,0.8736363636363635,1
20758,161,0.85,1
20759,64,0.85,0
20760,69,0.85,0
20761,110,3.8174545454545457,0
20762,101,3.8227450980392157,0
20763,71,3.6984,0
20764,128,3.9295161290322578,0
20765,96,3.96,0
20766,113,3.8824,0
20767,217,2.6216393442622947,1
20768,131,2.6029729729729727,0
20769,66,2.6426923076923075,0
20770,108,2.5344827586206895,0
20771,71,2.636071428571429,0
20772,218,2.592608695652174,1
20773,56,1.6499999999999997,0
20774,52,1.65,0
20775,64,1.65,0
20777,95,1.65,0
20778,15,1.65,0
